2026-07-17 00:47:09 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:47:09 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:47:10 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:47:10 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:47:10 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 00:48:27 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:48:27 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:48:27 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:48:27 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:48:28 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 00:49:48 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:49:48 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:49:49 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:49:49 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:50:10 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 00:51:21 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:51:21 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:51:22 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:51:22 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:51:43 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 00:51:51 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:51:51 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:51:52 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:51:52 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:51:52 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 00:58:01 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:58:01 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:58:02 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:58:02 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:58:02 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 00:58:39 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 00:58:39 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 00:58:41 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 00:58:41 | INFO    | Camera-0   | Camera Ready
2026-07-17 00:59:02 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 01:10:20 | INFO    | App        | Started pipeline for camera 0 (source: 0)
2026-07-17 01:10:20 | INFO    | App        | CUSTOS Server at http://localhost:5000
2026-07-17 01:10:21 | INFO    | Camera-0   | Opened with DSHOW backend
2026-07-17 01:10:21 | INFO    | Camera-0   | Camera Ready
2026-07-17 01:10:42 | INFO    | Camera-0   | Frame size: 640x480
2026-07-17 01:11:20 | INFO    | Camera-0   | 1 zone(s) monitoring=False
2026-07-17 01:11:20 | INFO    | App        | Reference saved for Zone 1
2026-07-17 01:11:27 | INFO    | Camera-0   | 2 zone(s) monitoring=False
2026-07-17 01:11:27 | INFO    | App        | Reference saved for Zone 1
2026-07-17 01:11:27 | INFO    | App        | Reference saved for Zone 2
2026-07-17 01:11:31 | INFO    | Camera-0   | 2 zone(s) monitoring=True
2026-07-17 01:11:31 | INFO    | App        | Reference saved for Zone 1
2026-07-17 01:11:31 | INFO    | App        | Reference saved for Zone 2
2026-07-17 01:14:44 | INFO    | App        | Zone 2: object moved (diff=58.1)
2026-07-17 01:14:50 | INFO    | App        | Zone 1: object moved (diff=50.9)
2026-07-17 01:15:03 | INFO    | App        | Zone 1: object moved (diff=48.7)
2026-07-17 01:15:03 | INFO    | App        | Zone 2: object moved (diff=62.4)
2026-07-17 01:15:06 | INFO    | App        | Zone 1: object moved (diff=48.8)
2026-07-17 01:15:15 | INFO    | App        | Zone 1: object moved (diff=53.8)
2026-07-17 01:15:48 | INFO    | App        | Zone 1: object moved (diff=48.0)
2026-07-17 01:15:51 | INFO    | App        | Zone 1: object moved (diff=49.4)
2026-07-17 01:15:54 | INFO    | App        | Zone 1: object moved (diff=48.4)
2026-07-17 01:15:57 | INFO    | App        | Zone 1: object moved (diff=48.5)
2026-07-17 01:16:00 | INFO    | App        | Zone 1: object moved (diff=64.0)
2026-07-17 01:16:04 | INFO    | App        | Zone 1: object moved (diff=61.3)
2026-07-17 01:18:05 | INFO    | App        | Zone 2: object moved (diff=51.6)
2026-07-17 01:18:17 | INFO    | App        | Zone 2: object moved (diff=51.6)
2026-07-17 01:18:23 | INFO    | App        | Zone 2: object moved (diff=48.0)
2026-07-17 01:18:26 | INFO    | App        | Zone 2: object moved (diff=55.8)
2026-07-17 01:18:29 | INFO    | App        | Zone 1: object moved (diff=52.0)
